carpeta_origen,ruta_relativa,formato,tipo,dimensiones_px,tamano_bytes,correspondencia_portafolio,paginas_pdf,rol_visual_o_tecnico,certeza,uso_web_recomendado,notas
PORTAFOLIO GIS,METZ/16.png,png,raster con/sin transparencia,3200x2400,2918438,P07 Pendiente,28,composición cartográfica exportada,directa,referencia_y_publicación,
PORTAFOLIO GIS,METZ/17.png,png,raster con/sin transparencia,3200x2400,3285770,P08 Patrones geomorfológicos,29,composición cartográfica exportada,directa,referencia_y_publicación,
PORTAFOLIO GIS,MODELO APTITUD/Aristas_Agr_cola.csv,csv,dato/modelo tabular,,72,P10-P11 Aptitud conservación/agrícola,34-37,grafo de modelo multicriterio,directa,fuente_datos,
PORTAFOLIO GIS,MODELO APTITUD/Aristas_Conservaci_n.csv,csv,dato/modelo tabular,,56,P10-P11 Aptitud conservación/agrícola,34-37,grafo de modelo multicriterio,directa,fuente_datos,
PORTAFOLIO GIS,MODELO APTITUD/Nodos_Agr_cola.csv,csv,dato/modelo tabular,,238,P10-P11 Aptitud conservación/agrícola,34-37,grafo de modelo multicriterio,directa,fuente_datos,
PORTAFOLIO GIS,MODELO APTITUD/Nodos_Conservaci_n.csv,csv,dato/modelo tabular,,230,P10-P11 Aptitud conservación/agrícola,34-37,grafo de modelo multicriterio,directa,fuente_datos,
PORTAFOLIO GIS,PORTAFOLIO.indd,indd,fuente de maquetación,,29118464,Portafolio completo,1-93,documento fuente de maquetación,directa,referencia_no_publicar,Conservar como respaldo; no usar como activo web.
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.cpg,cpg,codificación de shapefile,,5,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.dbf,dbf,atributos de shapefile,,869,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.prj,prj,sistema de coordenadas GIS,,443,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.qmd,qmd,metadato/estilo GIS,,1870,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.shp,shp,dato GIS vectorial,,44604,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/AGUASCALIENTES.shx,shx,índice de shapefile,,108,P09-P13 Aguascalientes/Calvillo,32-39,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.qmd,qmd,metadato/estilo GIS,,1870,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.cpg,cpg,codificación de shapefile,,5,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.dbf,dbf,atributos de shapefile,,869,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.prj,prj,sistema de coordenadas GIS,,443,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.shp,shp,dato GIS vectorial,,45212,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/CIUDAD DE MÉXICO.shx,shx,índice de shapefile,,108,P01 Áreas verdes - Miguel Hidalgo,18-19,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.cpg,cpg,codificación de shapefile,,5,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.dbf,dbf,atributos de shapefile,,869,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.prj,prj,sistema de coordenadas GIS,,443,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.qmd,qmd,metadato/estilo GIS,,1870,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.shp,shp,dato GIS vectorial,,887880,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/JALISCO.shx,shx,índice de shapefile,,108,Cobertura territorial,8-9,fuente GIS de cobertura,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.cpg,cpg,codificación de shapefile,,5,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.dbf,dbf,atributos de shapefile,,869,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.prj,prj,sistema de coordenadas GIS,,443,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.qmd,qmd,metadato/estilo GIS,,1870,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.shp,shp,dato GIS vectorial,,1344164,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/VERACRUZ.shx,shx,índice de shapefile,,108,P02-P04 Cuenca de Decozalapa,22-24,fuente GIS,directa,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.cpg,cpg,codificación de shapefile,,5,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.dbf,dbf,atributos de shapefile,,869,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.prj,prj,sistema de coordenadas GIS,,443,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.qmd,qmd,metadato/estilo GIS,,1870,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.shp,shp,dato GIS vectorial,,158116,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SHAPE/YUCATAN.shx,shx,índice de shapefile,,108,P15 Urban Challenge - Mérida,81-89,fuente GIS territorial,probable,fuente_datos,
PORTAFOLIO GIS,SLOPE_METZ.png,png,raster con/sin transparencia,3200x2400,186898,P07 Pendiente de Metztitlán,28,gráfica de pendiente,directa,publicar_optimizado,
PORTAFOLIO GIS,SUBCC.png,png,raster con/sin transparencia,3878x6188,8148303,P13 Subcuencas y ríos de Calvillo,39,mapa principal,directa,publicar_optimizado,
PORTAFOLIO GIS,VERACRUZ.png,png,raster con/sin transparencia,3200x2400,155083,P02-P04 Cuenca de Decozalapa,20-24,contorno territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,VERACRUZ2.png,png,raster con/sin transparencia,3200x2400,105563,P02-P04 Cuenca de Decozalapa,20-24,máscara territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/.DS_Store,sin_extensión,archivo auxiliar,,6148,Sistema,-,metadato del sistema,directa,excluir,No publicar ni migrar.
PORTAFOLIO GIS,elementos portada/10.png,png,raster con/sin transparencia,4406x7031,361808,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/11.png,png,raster con/sin transparencia,4406x7031,312724,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/7.png,png,raster con/sin transparencia,4406x7031,147972,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/8.png,png,raster con/sin transparencia,4406x7031,149438,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/9.png,png,raster con/sin transparencia,4406x7031,325597,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,elementos portada/trazo.png,png,raster con/sin transparencia,4406x7031,2503730,Identidad y portada,1-16,glifo/trazo editorial,directa,publicar_optimizado,
PORTAFOLIO GIS,firma.png,png,raster con/sin transparencia,4406x7031,806136,Prefacio,5,firma del autor,directa,publicar_optimizado,
PORTAFOLIO GIS,inhabitants.png,png,raster con/sin transparencia,3200x2400,141609,P01 Áreas verdes - Miguel Hidalgo,19,pictograma de habitantes,directa,publicar_optimizado,
PORTAFOLIO GIS,metz_base_2.jpeg,jpeg,raster fotográfico,9354x6614,5280415,P05-P08 Metztitlán,25,imagen de apertura territorial,directa,publicar_optimizado,
PORTAFOLIO GIS,mexico.jpeg,jpeg,raster fotográfico,8185x5787,2045628,Cobertura territorial,8-9,mapa nacional/localizador,directa,publicar_optimizado,
PORTAFOLIO GIS,mexico.png,png,raster con/sin transparencia,3200x2400,424106,Cobertura territorial,8-9,mapa nacional/localizador,directa,publicar_optimizado,
PORTAFOLIO GIS,suelo.png,png,raster con/sin transparencia,4406x7031,10582286,P12 Degradación del suelo,38,mapa principal,directa,publicar_optimizado,
PORTAFOLIO GIS,usgs-5HT7p_DVJ3c-unsplash.jpg,jpg,raster fotográfico o página exportada,7680x4320,2447519,Biblioteca editorial,-,fotografía/texture de paisaje,baja,revisar,
GRANULAR ELEMENTOS,Comarca_Bing.svg,svg,vector editable,,25320660,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Black.svg,svg,vector editable,,30468615,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Caracterizacion.svg,svg,vector editable,,8307760,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Caracterizacion_g.svg,svg,vector editable,,8710506,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Google.svg,svg,vector editable,,28206488,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Orange.svg,svg,vector editable,,361324,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Recorte_Azul.svg,svg,vector editable,,8138356,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Recorte_Negro.svg,svg,vector editable,,7585968,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_Satelite_B.svg,svg,vector editable,,8012707,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Comarca_V3.svg,svg,vector editable,,19839613,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Copia de Landscape Illustration_Tutorial Source File [Recuperado].svg,svg,vector editable,,5938905,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,revisar,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,Cuencame.svg,svg,vector editable,,30560,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Cuencas_Comarca.svg,svg,vector editable,,15617435,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Cuencas_V3.svg,svg,vector editable,,17594969,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Franciso_I_Madero.svg,svg,vector editable,,18347,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,General_Simon_Bolivar.svg,svg,vector editable,,85883,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Gomez_Palacio.svg,svg,vector editable,,34695,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Lerdo.svg,svg,vector editable,,29000,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Mapimi.svg,svg,vector editable,,27068,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Matamoros.svg,svg,vector editable,,20878,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Nazas.svg,svg,vector editable,,25424,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,PROYECTO FINAL MANEJO DE CUENCAS.svg,svg,vector editable,,7100060,P13 Subcuencas y ríos de Calvillo,39,composición cartográfica,probable,revisar_y_convertir,
GRANULAR ELEMENTOS,RTP.svg,svg,vector editable,,3122948,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Radar de Tensiones y Políticas_Hídricas_Comarca_Lagunera_(1990–2025).svg,svg,vector editable,,7199652,P14 GRANULAR - aplicaciones y gobernanza,78-79,diagrama de tensiones/políticas,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,San_Juan_De_Guadalupe.svg,svg,vector editable,,26689,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,San_Luis_Del_Cordero.svg,svg,vector editable,,16487,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,San_Pedro.svg,svg,vector editable,,16611,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Santa_Clara.svg,svg,vector editable,,26711,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Tlahualillo.svg,svg,vector editable,,13488,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Torreon.svg,svg,vector editable,,72618,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Viesca.svg,svg,vector editable,,57373,P14 GRANULAR - capas municipales,43-74,máscara municipal,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Zona_Lagunera_Total.svg,svg,vector editable,,25815755,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,Zona_Lagunera_Total_Black.svg,svg,vector editable,,17312057,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,acuiferos total.svg,svg,vector editable,,7154569,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura1.svg,svg,vector editable,,2273,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura_comarca.svg,svg,vector editable,,5607313,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura_comarca_total.svg,svg,vector editable,,16567737,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura_riego.svg,svg,vector editable,,2177187,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura_temporal.svg,svg,vector editable,,2291404,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agricultura_total_2.svg,svg,vector editable,,19963695,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agropro.svg,svg,vector editable,,85270,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,agua_tot.svg,svg,vector editable,,20026033,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,anp.svg,svg,vector editable,,3069600,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,anp_rtp.svg,svg,vector editable,,6475505,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,axai.ai,ai,fuente vectorial,,2657421,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,fuente_editable,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,base_red.svg,svg,vector editable,,23828063,P14 GRANULAR - Conectividad,69,red/capa de conectividad,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,basedef.svg,svg,vector editable,,14965412,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
